GeneID   Uniq_reads_num(20543234)      length  coverage        rpkm
FSTL1	462	3839	*	5.8580766563603
AACS	404	3322	*	5.91988028038314
RPS11	71948	609	*	5750.85768417633
ELMO2	278	3682	*	3.67529495714925
PNMA1	3092	2643	*	56.9473486522499
MMP2	314	3524	*	4.33735465963934
SLMAP	202	4420	*	2.22464279314851
TMEM216	158	1308	*	5.88004337747597
SAMD4A	3	6526	*	0.0223771808706903
HAUS2	1383	3942	*	17.0779896927802
LOC653712	22	1104	*	0.970029170279814
ZHX3	295	9991	*	1.4372894704176
ERCC5	1064	4098	*	12.6386550539532
GPR98	109	19332	*	0.274461162450369
APBB2	1831	8974	*	9.93192579321931
C10orf25	153	3212	*	2.31871344970995
GCSH	222	1538	*	7.02631839713734
MTERF	1	2163	*	0.0225047745973378
PDCL3	36663	1075	*	1660.16296553258
CLK4	7167	2507	*	139.159947891151
AEN	3678	3116	*	57.4573329191158
ZNF799	37	2587	*	0.696203948898159
FRG2	644	2081	*	15.0641618839033
CXCR4	37	1894	*	0.950939607074729
PTPRR	186	3490	*	2.59429109067385
GGT3P	6	2036	*	0.143451357919572
IRAK1	1	3571	*	0.0136314274584266
RPS18	76530	542	*	6873.27331191476
LOC401397	1	1126	*	0.0432307526234827
SLC10A7	18	3783	*	0.231615356640959
BRIX1	6689	1271	*	256.180950306911
TMSB10	635	482	*	64.1295029736855
LMAN1	743	4832	*	7.48502189535449
ESYT1	356	4277	*	4.05174341212036
CHD8	1291	8229	*	7.63678153398562
SUMO1	1441	1527	*	45.9363126138008
UQCR11	1	1335	*	0.0364627921004057
DDB1	1330	4337	*	14.9277174346035
CHRNA10	272	1944	*	6.81088943801405
MYO9B	23	7622	*	0.146889272033975
EP300	1127	8760	*	6.26254697953252
CCNI	8600	1871	*	223.746294016439
CRNKL1	1315	4405	*	14.5315194329318
XAB2	195	2654	*	3.57655476772348
HIC2	2745	6794	*	19.6674472124439
UTY	1	6522	*	0.00746363499755314
CENPQ	312	1728	*	8.78905217920195
