GeneID   Uniq_reads_num(20321217)      length  coverage        rpkm
FSTL1	2	3839	*	0.0256367028778031
AACS	4	3322	*	0.0592530417506839
RPS11	46690	609	*	3772.73992333563
CREB3L1	2	2669	*	0.0368749727792754
PNMA1	605	2643	*	11.264411260021
MMP2	3	3524	*	0.041892438570326
SLMAP	622	4420	*	6.92497806112953
TMEM216	3	1308	*	0.1128661724173
HAUS2	1649	3942	*	20.5851635681968
C10orf90	181	3078	*	2.89374491958534
ZHX3	2	9991	*	0.00985079595114463
ERCC5	3	4098	*	0.0360246348271911
APBB2	8	8974	*	0.043868643792238
C10orf25	173	3212	*	2.65045755077588
NHEDC1	27	1878	*	0.707486997708445
GCSH	979	1538	*	31.3239587121523
PDCL3	4190	1075	*	191.803198529136
AEN	1393	3116	*	21.9990513752576
CXCR4	1	1894	*	0.0259818644001811
SALL1	1	5253	*	0.00936791379667675
IRAK1	242	3571	*	3.33484614508379
RPS18	81120	542	*	7365.10498750969
LOC401397	267	1126	*	11.6687183511925
BRIX1	2212	1271	*	85.6426029872241
TMSB10	10796	482	*	1102.21451052674
LMAN1	1304	4832	*	13.280087982372
ESYT1	79	4277	*	0.908946093696866
CHD8	873	8229	*	5.22056452483318
SUMO1	1685	1527	*	54.301415997442
UQCR11	2848	1335	*	104.980589171078
DDB1	2063	4337	*	23.4077727396459
CCNI	10220	1871	*	268.798842863547
CRNKL1	1796	4405	*	20.0636852459481
C9orf45	1	5983	*	0.00822491244759201
XAB2	4	2654	*	0.0741667689132524
HIC2	1670	6794	*	12.0959843185877
CENPQ	1	1728	*	0.0284778073923281
ZAR1L	737	1103	*	32.880791400903
DTNBP1	1088	2095	*	25.5561338793556
REEP6	4	1372	*	0.143468370769513
ATP5G2	3897	1163	*	164.892528482249
TMEM42	369	969	*	18.7392789300154
PARN	1251	3077	*	20.006913753202
SOD2	2638	1593	*	81.4909352146024
PNPT1	2540	4579	*	27.2969019396845
CHD9	154	11461	*	0.661223826959883
STK16	5	3118	*	0.0789122052179971
PDE1C	225	2978	*	3.71798909138253
SEMA4D	195	4628	*	2.07344035845265
KIAA1486	3	4590	*	0.0321631707019235
AGPAT1	1785	2257	*	38.918576581962
TOB2	203	4565	*	2.18829335998038
NINL	1422	4972	*	14.0740394145911
MAX	62	2103	*	1.45078381967878
PROSC	171	2568	*	3.2768108842462
OSBPL8	1046	7241	*	7.1085893009176
PIR	1425	1311	*	53.488751276025
PPCS	814	1488	*	26.9197957362833
LONP1	749	3110	*	11.8514561830493
IPO9	2009	11415	*	8.66072616806408
NAT10	451	4040	*	5.4934536335268
CHD1	271	6456	*	2.06564675776619
C15orf41	1	2594	*	0.0189705671449279
DMC1	120	2269	*	2.60253774388416
