ID	type	number
GSM896803	Oocyte	#1
GSM896804	Oocyte	#2
GSM896805	Oocyte	#3
GSM896806	Zygote	#1
GSM896807	Zygote	#2
GSM896808	Zygote	#3
GSM896809	2-cell	embryo#1-Cell#1
GSM896810	2-cell	embryo#1-Cell#2
GSM896811	2-cell	embryo#2-Cell#1
GSM896812	2-cell	embryo#2-Cell#2
GSM896813	2-cell	embryo#3-Cell#1
GSM896814	2-cell	embryo#3-Cell#2
GSM896815	hESC	passage#0-Cell#1
GSM896816	hESC	passage#0-Cell#2
GSM922146	4-cell	embryo#1-Cell#1
GSM922147	4-cell	embryo#1-Cell#2
GSM922148	4-cell	embryo#1-Cell#3
GSM922149	4-cell	embryo#1-Cell#4
GSM922150	4-cell	embryo#2-Cell#1
GSM922151	4-cell	embryo#2-Cell#2
GSM922152	4-cell	embryo#2-Cell#3
GSM922153	4-cell	embryo#2-Cell#4
GSM922154	4-cell	embryo#3-Cell#1
GSM922155	4-cell	embryo#3-Cell#2
GSM922156	4-cell	embryo#3-Cell#3
GSM922157	4-cell	embryo#3-Cell#4
GSM922158	8-cell	embryo#1-Cell#1
GSM922159	8-cell	embryo#1-Cell#2
GSM922160	8-cell	embryo#1-Cell#3
GSM922161	8-cell	embryo#1-Cell#4
GSM922162	8-cell	embryo#2-Cell#1
GSM922163	8-cell	embryo#2-Cell#2
GSM922164	8-cell	embryo#2-Cell#3
GSM922165	8-cell	embryo#2-Cell#4
GSM922166	8-cell	embryo#2-Cell#5
GSM922167	8-cell	embryo#2-Cell#6
GSM922168	8-cell	embryo#2-Cell#7
GSM922169	8-cell	embryo#2-Cell#8
GSM922170	8-cell	embryo#3-Cell#1
GSM922171	8-cell	embryo#3-Cell#2
GSM922172	8-cell	embryo#3-Cell#3
GSM922173	8-cell	embryo#3-Cell#4
GSM922174	8-cell	embryo#3-Cell#5
GSM922175	8-cell	embryo#3-Cell#6
GSM922176	8-cell	embryo#3-Cell#7
GSM922177	8-cell	embryo#3-Cell#8
GSM922178	Morulae	#1-Cell#1
GSM922179	Morulae	#1-Cell#2
GSM922180	Morulae	#1-Cell#3
GSM922181	Morulae	#1-Cell#4
GSM922182	Morulae	#1-Cell#5
GSM922183	Morulae	#1-Cell#6
GSM922184	Morulae	#1-Cell#7
GSM922185	Morulae	#1-Cell#8
GSM922186	Morulae	#2-Cell#1
GSM922187	Morulae	#2-Cell#2
GSM922188	Morulae	#2-Cell#3
GSM922189	Morulae	#2-Cell#4
GSM922190	Morulae	#2-Cell#5
GSM922191	Morulae	#2-Cell#6
GSM922192	Morulae	#2-Cell#7
GSM922193	Morulae	#2-Cell#8
GSM922224	hESC	passage#0-Cell#4
GSM922225	hESC	passage#0-Cell#5
GSM922226	hESC	passage#0-Cell#6
GSM922227	hESC	passage#0-Cell#7
GSM922228	hESC	passage#0-Cell#8
GSM922230	hESC	passage#0-Cell#10
GSM922250	hESC	passage#10-Cell#1
GSM922251	hESC	passage#10-Cell#2
GSM922252	hESC	passage#10-Cell#3
GSM922253	hESC	passage#10-Cell#4
GSM922254	hESC	passage#10-Cell#5
GSM922255	hESC	passage#10-Cell#6
GSM922256	hESC	passage#10-Cell#7
GSM922257	hESC	passage#10-Cell#8
GSM922258	hESC	passage#10-Cell#9
GSM922259	hESC	passage#10-Cell#10
GSM922260	hESC	passage#10-Cell#11
GSM922261	hESC	passage#10-Cell#12
GSM922262	hESC	passage#10-Cell#13
GSM922263	hESC	passage#10-Cell#14
GSM922264	hESC	passage#10-Cell#15
GSM922265	hESC	passage#10-Cell#16
GSM922266	hESC	passage#10-Cell#17
GSM922267	hESC	passage#10-Cell#18
GSM922268	hESC	passage#10-Cell#19
GSM922269	hESC	passage#10-Cell#20
GSM922270	hESC	passage#10-Cell#21
GSM922271	hESC	passage#10-Cell#22
GSM922272	hESC	passage#10-Cell#23
GSM922273	hESC	passage#10-Cell#24
GSM922274	hESC	passage#10-Cell#25
GSM922275	hESC	passage#10-Cell#26
