GeneID   Uniq_reads_num(22901920)      length  coverage        rpkm
AACS	600	3322	*	7.8864168549561
RPS11	23978	609	*	1719.18957887934
ELMO2	4858	3682	*	57.6105250119199
CREB3L1	43	2669	*	0.703473899127675
PNMA1	173	2643	*	2.85809754385446
SLMAP	68	4420	*	0.671760943388824
TMEM216	106	1308	*	3.53855726295795
SAMD4A	932	6526	*	6.2358685183106
HAUS2	24	3942	*	0.26584146922541
SMARCD3	21	1710	*	0.536230226740202
LOC653712	1	1104	*	0.0395511425002478
C10orf90	72	3078	*	1.02139090807658
PKNOX2	489	3728	*	5.72744677725692
RALYL	60	2898	*	0.904026114291379
ZHX3	6499	9991	*	28.4030961986246
ERCC5	950	4098	*	10.1223128975744
GPR98	220	19332	*	0.496905725763511
APBB2	1193	8974	*	5.80473616615627
C10orf25	19	3212	*	0.258289154758779
NHEDC1	11	1878	*	0.255755630736427
KLHL13	1	3972	*	0.010993066797652
GCSH	12	1538	*	0.340685003799274
EDN1	41	2099	*	0.852902769952938
PDCL3	18821	1075	*	764.473326984995
CLK4	1	2507	*	0.0174170168808431
AEN	853	3116	*	11.9530762214998
ZNF799	4111	2587	*	69.3871667907401
FRG2	29	2081	*	0.60849081128685
DECR1	20	1251	*	0.698072922786148
PTPRR	324	3490	*	4.05366345781336
GGT3P	3	2036	*	0.0643385972302656
IRAK1	57	3571	*	0.696968438884233
RPS18	14475	542	*	1166.13113950362
LOC401397	12	1126	*	0.465340617978049
SLC10A7	59	3783	*	0.680994770789358
BRIX1	2777	1271	*	95.4022101387881
TMSB10	1	482	*	0.0905901687142606
LMAN1	3342	4832	*	30.2000475439475
ESYT1	329	4277	*	3.35880471694412
CHD8	2769	8229	*	14.6927808234096
SUMO1	3970	1527	*	113.521880446291
GP1BA	34	2500	*	0.593836673955721
TMC4	17	2478	*	0.299554415837228
UQCR11	80	1335	*	2.6165969330501
DDB1	1715	4337	*	17.2664402038896
STYK1	54	2995	*	0.787272424472378
MYO9B	118	7622	*	0.675991398031
EP300	6235	8760	*	31.0785292616331
CCNI	55860	1871	*	1303.63271477845
CRNKL1	1680	4405	*	16.6529614115913
C9orf45	11	5983	*	0.0802789695007537
XAB2	10	2654	*	0.164523215223337
RTN1	27	3309	*	0.356283002613293
KLHL14	17	4261	*	0.174206956687315
HIC2	12638	6794	*	81.2233532772472
ZBTB12	2	1865	*	0.0468251595927867
UTY	1	6522	*	0.00669494960445777
CENPQ	1070	1728	*	27.0376004703083
KCNA6	4	5977	*	0.0292216572329085
ZAR1L	9509	1103	*	376.432785761089
DTNBP1	616	2095	*	12.8388105839086
TRIM74	2	1350	*	0.0646880908448497
REEP6	38	1372	*	1.20936554677143
ATP5G2	2606	1163	*	97.8414326746629
KBTBD8	397	4680	*	3.70401520174116
ZEB1	528	6267	*	3.67876744488662
CDK14	7	4953	*	0.0617103228834878
ERG	124	5106	*	1.06039819892556
TMEM42	14	969	*	0.63085909028259
PARN	945	3077	*	13.4101124301783
SOD2	191	1593	*	5.23534972515521
CYTH1	324	3310	*	4.27410437092708
DIRAS1	256	3398	*	3.28961215361684
PNPT1	708	4579	*	6.75135152102068
MIER1	1087	5628	*	8.43341674753685
CHD9	214	11461	*	0.815303614216783
STK16	168	3118	*	2.35267142456894
PDE1C	85	2978	*	1.24629926535368
SEMA4D	358	4628	*	3.37767440636516
KIAA1486	35	4590	*	0.332953408760256
AGPAT1	804	2257	*	15.5543761194063
TOB2	417	4565	*	3.98862658719695
NOSTRIN	150	2819	*	2.32340163108941
BANK1	123	3443	*	1.55989797920234
OR2V2	1	947	*	0.0461081956919468
NINL	7	4972	*	0.0614745030655501
MAP3K3	1336	4825	*	12.090304730339
MAX	1183	2103	*	24.5625571763593
GRM2	1	3353	*	0.0130225056129656
CAPS	3	1608	*	0.0814635472393164
PROSC	873	2568	*	14.8438764535042
OSBPL8	2119	7241	*	12.7779303325038
PIR	7	1311	*	0.233143576843566
PPCS	89	1488	*	2.61165124832282
LONP1	50	3110	*	0.702000985856489
IPO9	875	11415	*	3.34703492380547
FLJ26850	1	1433	*	0.0304706638662063
EVC	32	6430	*	0.217303695528578
SCYL3	247	3477	*	3.10184697903583
KIAA1199	44	7080	*	0.271361059052548
HERC2P2	94	6075	*	0.675631171046209
SORL1	74	10924	*	0.295786354604563
FIBCD1	46	3256	*	0.616881210298705
NAT10	1031	4040	*	11.143084064654
CHD1	1072	6456	*	7.25035665045435
SYN3	192	3139	*	2.67077941175296
C15orf41	128	2594	*	2.15460718928104
SLC22A2	11	2512	*	0.191205841768714
DMC1	22	2269	*	0.423366306322617
SERPINF1	1138	1541	*	32.2453971333364
WDR34	282	1818	*	6.77303525429986
C20orf27	215	1376	*	6.82257208129275
RPS6KA5	538	3875	*	6.06231746846637
FAHD1	530	1700	*	13.6130379410265
EPT1	754	8129	*	4.05006813082621
DHRS11	58	1596	*	1.58680373219039
RNF216L	2225	2428	*	40.0137670665604
LHB	10	522	*	0.836483933338574
TAOK3	9511	4383	*	94.7507852195122
STK25	446	2140	*	9.10016343403833
SLC12A4	4	4765	*	0.0366543221996001
BRCA1	2638	7269	*	15.8463129677922
C3orf39	112	2538	*	1.92687930176148
CDC25B	10836	3672	*	128.852969190219
BMP3	6	5733	*	0.045698023359784
TMEM180	1	2832	*	0.015418241991622
MAP1LC3C	173	1192	*	6.33720789295917
SLK	307	5606	*	2.39118616220549
C4orf42	393	2929	*	5.85870034102681
POU3F1	5	2928	*	0.0745636293037459
USP6NL	561	4739	*	5.16897294802141
BAZ1B	8406	6115	*	60.0234606472968
ABCD4	1505	3157	*	20.8156522923699
DIMT1L	196	1556	*	5.50015065473883
BBS12	24	3431	*	0.305434879535577
LRGUK	29	2700	*	0.468988658625161
TEK	455	4758	*	4.17556324100977
SLC25A46	4984	2324	*	93.6418568073337
LARP7	11532	2285	*	220.36698815991
TERF2IP	47	2175	*	0.943553876805912
PHF20	1057	5889	*	7.83721100620295
CPNE4	227	2564	*	3.86576939145948
COL1A1	7	5925	*	0.0515867053572852
LOC100130557	13	3182	*	0.178390319661709
KIAA0090	40	4237	*	0.412220545860501
GTPBP1	153	5045	*	1.32421458513416
GRK5	745	2557	*	12.7219490354336
AP1S2	15	2282	*	0.287014425856312
TMEM52	96	958	*	4.37556188595643
